Judul Pelatihan,Tipe,Kategori,Durasi (JP),Durasi (UK),Tag
COST ESTIMATOR BIDANG KONSTRUKSI,OFFLINE,"Konstruksi / Manajemen Pelaksanaan",300,13,Astacita Infrastruktur
PEMBUATAN PERABOT SEDERHANA MENGGUNAKAN HIGH PRESSURE LAMINATE (HPL),OFFLINE,"Konstruksi / Furniture",200,12,Astacita Infrastruktur
MENYIAPKAN DAN MENGOLAH HIDANGAN INDIA,OFFLINE,"Pariwisata / Layanan Hotel (Hotel Services)",160,7,Astacita Pariwisata
FAMILY COOK (KKNI JENJANG 1),OFFLINE,"Pelayanan Sosial dan Masyarakat / Tata Laksana",280,13,Astacita Kesehatan
KEPEMANDUAN OUTBOUND/EXPERIENTIAL LEARNING,OFFLINE,"Pariwisata / Layanan Perjalanan (Travel Services)",80,13,Astacita Pariwisata
PETCARE (KKNI JENJANG 1),OFFLINE,"Pelayanan Sosial dan Masyarakat / Generalis",240,9,Astacita Kesehatan
GARDENER (KKNI JENJANG 1),OFFLINE,"Pelayanan Sosial dan Masyarakat / Generalis",320,10,Cipta Tekno
FAMILY DRIVER (KKNI JENJANG 2),OFFLINE,"Pelayanan Sosial dan Masyarakat / Tata Laksana",320,17,Astacita Pariwisata
CHILDCARE (KKNI JENJANG 2),OFFLINE,"Pelayanan Sosial dan Masyarakat / Pengasuhan Anak",320,17,Future Job
KEPEMANDUAN GEOWISATA,OFFLINE,"Pariwisata / Layanan Hotel (Hotel Services)",180,11,Astacita Pariwisata
ADVANCE SCUBA DIVER,OFFLINE,"Pariwisata / Layanan Perjalanan (Travel Services)",180,7,Astacita Pariwisata
KEPEMANDUAN EKOWISATA,OFFLINE,"Pariwisata / Layanan Perjalanan (Travel Services)",180,11,Astacita Pariwisata
MANUAL BREWING COFFEE AND LATTE ART,OFFLINE,"Pariwisata / Layanan Hotel (Hotel Services)",60,6,Astacita Pariwisata
SPA THERAPIST,OFFLINE,"Kesehatan / Tenaga Non Medis",300,19,Astacita Pariwisata
PENGOPERASIAN MESIN BUBUT DASAR,BLENDED,"Manufaktur / Inspeksi dan Quality Control",40,6,Durasi Pendek
MAIL HANDLING,OFFLINE,"Bisnis dan Manajemen / Manajemen Perkantoran",40,3,Durasi Pendek
CONTACT CENTER AGENT,OFFLINE,"Bisnis dan Manajemen / Manajemen Perkantoran",140,9,Future Job
SOCIAL MEDIA OFFICER,OFFLINE,"Bisnis dan Manajemen / Pemasaran",260,7,Future Job
